This is the complete list of games supported by MAME 0.74 (Sep 14 2003).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Battle Shark                     |  Yes  |  Yes  |  Yes  |  Yes  | bshark   |
| Battle Toads                     |  Yes  |  Yes  |  Yes  |  Yes  | btoads   |
| Battle Zone                      |  Yes  |  Yes  |  Yes  |  Yes  | bzone    |
| Battle of Atlantis               |  Yes  |  Yes  |  Yes  |  Yes  | atlantis |
| Battle-Road, The                 |  Yes  |  Yes  |  Yes  |  Yes  | battroad |
| Battlecry                        |  Yes  |  Yes  |  Yes  |  Yes  | battlcry |
| Bay Route                        |  Yes  |  Yes  |  Yes  |  Yes  | bayroute |
| Beam Invader                     |  Yes  |  Yes  |   No  |  Yes  | beaminv  |
| Beast Busters                    |  Yes  |  Yes  |  Yes  |  Yes  | bbusters |
| BeatHead                         |  Yes  |  Yes  |  Yes  |  Yes  | beathead |
| Beezer                           |  Yes  |  Yes  |Partial|  Yes  | beezer   |
| Bells & Whistles                 |  Yes  |  Yes  |  Yes  |  Yes  | blswhstl |
| Ben Bero Beh                     |  Yes  | Close |  Yes  |  Yes  | benberob |
| Beraboh Man                      |  Yes  |  Yes  |  Yes  |  Yes  | berabohm |
| Berlin Wall, The                 |  Yes  |  Yes  |  Yes  |  Yes  | berlwall |
| Bermuda Triangle                 |  Yes  |  Yes  |  Yes  |   No  | bermudat |
| Berzerk                          |  Yes  |  Yes  | Yes(2)|  Yes  | berzerk  |
| Best Bout Boxing                 |  Yes  |  Yes  |   No  |  Yes  | bbbxing  |
| Big Event Golf                   |  Yes  |  Yes  |  Yes  |  Yes  | bigevglf |
| Big Karnak                       |  Yes  |  Yes  |  Yes  |  Yes  | bigkarnk |
| Big Pro Wrestling!, The          |  Yes  |  Yes  |  Yes  |  Yes  | bigprowr |
| Big Run                          |  Yes  |  Yes  |  Yes  |  Yes  | bigrun   |
| Big Striker                      |  Yes  |  Yes  |  Yes  |  Yes  | bigstrik |
| Big Twin                         |  Yes  |  Yes  |  Yes  |   No  | bigtwin  |
| Bigfoot Bonkers                  |  Yes  |  Yes  |  Yes  |  Yes  | bbonk    |
| Bijokko Gakuen                   |  Yes  |  Yes  |  Yes  |  Yes  | bijokkog |
| Bijokko Yume Monogatari          |  Yes  |  Yes  |  Yes  |  Yes  | bijokkoy |
| Billiard Academy Real Break      |  Yes  |  Yes  |  Yes  |  Yes  | realbrk  |
| Bio Attack                       |  Yes  |  Yes  |  Yes  |  Yes  | bioatack |
| Bio-ship Paladin                 |  Yes  |  Yes  |   No  |  Yes  | bioship  |
| Biomechanical Toy                |  Yes  |  Yes  |  Yes  |  Yes  | biomtoy  |
| Bionic Commando                  |  Yes  |  Yes  |  Yes  |  Yes  | bionicc  |
| Birdie King                      |  Yes  |  Yes  |  Yes  |  Yes  | bking    |
| Birdie King 2                    |  Yes  |  Yes  |  Yes  |  Yes  | bking2   |
| Birdie King 3                    |  Yes  |  Yes  |  Yes  |  Yes  | bking3   |
| Birdie Try                       |   No  |  Yes  |  Yes  |  Yes  | birdtry  |
| Bishoujo Janshi Pretty Sailor 18-|  Yes  |  Yes  |  Yes  |  Yes  | psailor1 |
| Bishoujo Janshi Pretty Sailor 2  |  Yes  |  Yes  |  Yes  |  Yes  | psailor2 |
| Black Heart                      |   No  |  Yes  |   No  |  Yes  | blkheart |
| Black Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blkhole  |
| Black Panther                    |  Yes  |  Yes  |  Yes  |   No  | blkpnthr |
| Black Tiger                      |  Yes  |  Yes  |  Yes  |  Yes  | blktiger |
| Black Widow                      |  Yes  |  Yes  |  Yes  |  Yes  | bwidow   |
| Blade Master                     |  Yes  |  Yes  |  Yes  |  Yes  | bmaster  |
| Blades of Steel                  |  Yes  |  Yes  |  Yes  |  Yes  | bladestl |
| Blandia                          |  Yes  |  Yes  |  Yes  |  Yes  | blandia  |
| Blast Off                        |  Yes  |  Yes  |  Yes  |  Yes  | blastoff |
| Blasted                          |  Yes  |  Yes  |  Yes  |  Yes  | blasted  |
| Blaster                          |  Yes  |  Yes  |  Yes  |  Yes  | blaster  |
| Blasteroids                      |  Yes  |  Yes  |  Yes  |  Yes  | blstroid |
| Blasto                           |  Yes  |  Yes  |Part(2)|  Yes  | blasto   |
| Blaze On                         |  Yes  |  Yes  |  Yes  |  Yes  | blazeon  |
| Blazer                           |  Yes  |  Yes  |  Yes  |  Yes  | blazer   |
| Blazing Star                     |  Yes  |  Yes  |  Yes  |  Yes  | blazstar |
| Blazing Tornado                  |  Yes  |  Yes  |  Yes  |  Yes  | blzntrnd |
| Block Block                      |  Yes  |  Yes  |  Yes  |  Yes  | block    |
| Block Carnival / Thunder & Lightn|  Yes  |  Yes  |  Yes  |  Yes  | blockcar |
| Block Gal                        | No(1) |  Yes  |  Yes  |   No  | blockgal |
| Block Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blockhl  |
| Block Out                        |  Yes  |  Yes  |  Yes  |  Yes  | blockout |
| Blockade                         |  Yes  |  Yes  |Part(2)|  Yes  | blockade |
| Blocken                          |  Yes  |  Yes  |  Yes  |  Yes  | blocken  |
| Blomby Car                       |  Yes  |  Yes  |  Yes  |  Yes  | blmbycar |
| Blood Bros.                      |  Yes  |  Yes  |  Yes  |   No  | bloodbro |
| Blood Storm                      |  Yes  |  Yes  |  Yes  |  Yes  | bloodstm |
| Bloxeed                          | No(1) |  Yes  |  Yes  |  Yes  | bloxeed  |
| Blue Hawk                        |  Yes  |  Yes  |  Yes  |  Yes  | bluehawk |
| Blue Print                       |  Yes  |  Yes  |  Yes  |  Yes  | blueprnt |
| Blue Shark                       |  Yes  |  Yes  |   No  |  Yes  | blueshrk |
| Blue's Journey / Raguy           |  Yes  |  Yes  |  Yes  |  Yes  | bjourney |
| Boardwalk Casino                 |  Yes  |  Yes  |  Yes  |  Yes  | bwcasino |
| Body Slam                        |  Yes  |  Yes  |  Yes  |  Yes  | bodyslam |
| Bogey Manor                      |  Yes  | Close |  Yes  |  Yes  | bogeyman |
| Boggy '84                        |  Yes  |  Yes  |  Yes  |  Yes  | boggy84  |
| Bomb Bee                         |  Yes  |  Yes  |  Yes  |  Yes  | bombbee  |
| Bomb Jack                        |  Yes  |  Yes  |  Yes  |  Yes  | bombjack |
| Bomber Man World                 |  Yes  |  Yes  |Partial|   No  | bbmanw   |
| Bomberman                        |  Yes  |  Yes  |  Yes  |   No  | bombrman |
| Bombjack Twin                    |  Yes  |  Yes  |  Yes  |   No  | bjtwin   |
| Bonze Adventure                  |  Yes  |  Yes  |  Yes  |  Yes  | bonzeadv |
| Boomer Rang'r / Genesis          |  Yes  |  Yes  |  Yes  |  Yes  | boomrang |
| Boot Hill                        |  Yes  |  Yes  | Yes(2)|  Yes  | boothill |
| Borench                          |  Yes  |  Yes  |  Yes  |  Yes  | borench  |
| Bosconian                        |  Yes  |  Yes  | Yes(2)|  Yes  | bosco    |
| Bottom of the Ninth              |  Yes  |  Yes  |  Yes  |  Yes  | bottom9  |
| Boulder Dash / Boulder Dash Part |  Yes  |  Yes  |  Yes  |  Yes  | bouldash |
| Bouncing Balls                   |  Yes  |  Yes  |  Yes  |  Yes  | bballs   |
| Bounty, The                      |  Yes  |  Yes  |  Yes  |  Yes  | bounty   |
| Bowl-O-Rama                      |  Yes  |  Yes  |  Yes  |  Yes  | bowlrama |
| Boxer                            |  Yes  |  Yes  |   No  |  Yes  | boxer    |
| Boxing Bugs                      |  Yes  | Close |   No  |  Yes  | boxingb  |
| Boxy Boy                         |  Yes  |  Yes  |  Yes  |  Yes  | boxyboy  |
| Bradley Trainer                  |  Yes  |  Yes  |  Yes  |  Yes  | bradley  |
| Brain                            |  Yes  |  Yes  |  Yes  |  Yes  | brain    |
| Break Thru                       |  Yes  |  Yes  |  Yes  |  Yes  | brkthru  |
| Breakers                         |  Yes  |  Yes  |  Yes  |  Yes  | breakers |
| Brute Force                      |  Yes  |  Yes  |  Yes  |  Yes  | brutforc |
| Bubble 2000                      |  Yes  |  Yes  |  Yes  |  Yes  | bubl2000 |
| Bubble Bobble                    |  Yes  |  Yes  |  Yes  |  Yes  | bublbobl |
| Bubble Bobble 2                  |  Yes  |  Yes  |  Yes  |  Yes  | bublbob2 |
| Bubble Memories - The Story Of Bu|  Yes  |  Yes  |  Yes  |  Yes  | bubblem  |
| Bubbles                          |  Yes  |  Yes  |  Yes  |  Yes  | bubbles  |
| Buck Rogers: Planet of Zoom      |  Yes  |  Yes  | Yes(2)|  Yes  | buckrog  |
| Bucky O'Hare                     |  Yes  |  Yes  |  Yes  |  Yes  | bucky    |
| Buggy Challenge                  |  Yes  |  Yes  |Partial|  Yes  | buggychl |
| Bull Fighter                     |   No  |   No  |  Yes  |  Yes  | bullfgtr |
| Bullfight                        |  Yes  |  Yes  |  Yes  |  Yes  | bullfgt  |
| Burger Time                      |  Yes  |  Yes  |  Yes  |  Yes  | btime    |
| Burglar X                        |  Yes  |  Yes  |  Yes  |  Yes  | burglarx |
| Burnin' Rubber                   |  Yes  |  Yes  |  Yes  |  Yes  | brubber  |
| Burning Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | burningf |
| Burning Force                    |  Yes  |  Yes  |  Yes  |  Yes  | burnforc |
| Burning Rival                    |  Yes  |  Yes  |  Yes  |  Yes  | brival   |
| Butasan                          |  Yes  |  Yes  |  Yes  |  Yes  | butasan  |
| Cabal                            |  Yes  |  Yes  |Partial|  Yes  | cabal    |
| Cachat                           |  Yes  |  Yes  |  Yes  |  Yes  | cachat   |
| Cadash                           |  Yes  |  Yes  |  Yes  |  Yes  | cadash   |
| Cadillacs and Dinosaurs          |  Yes  |  Yes  |  Yes  |  Yes  | dino     |
| Caliber 50                       |  Yes  |  Yes  |  Yes  |  Yes  | calibr50 |
| Calipso                          |  Yes  |  Yes  |  Yes  |  Yes  | calipso  |
| Cameltry                         |  Yes  |  Yes  |  Yes  |  Yes  | cameltry |
| Cannon Ball                      |  Yes  |  Yes  |  Yes  |  Yes  | cannonb  |
| Cannon Ball                      |  Yes  |  Yes  |Partial|  Yes  | cannball |
| Canyon Bomber                    |  Yes  |  Yes  |  Yes  |  Yes  | canyon   |
| Capcom Baseball                  |  Yes  |  Yes  |  Yes  |  Yes  | cbasebal |
| Capcom Bowling                   |  Yes  |  Yes  |  Yes  |  Yes  | capbowl  |
| Capcom Sports Club               |  Yes  |  Yes  |  Yes  |  Yes  | csclub   |
| Capcom World                     |  Yes  |  Yes  |  Yes  |  Yes  | cworld   |
| Capcom World 2                   |  Yes  |  Yes  |  Yes  |  Yes  | cworld2j |
| Captain America and The Avengers |  Yes  |  Yes  |  Yes  |  Yes  | captaven |
| Captain Commando                 |  Yes  |  Yes  |  Yes  |  Yes  | captcomm |
| Captain Silver                   |  Yes  |  Yes  |  Yes  |  Yes  | csilver  |
| Captain Tomaday                  |  Yes  |  Yes  |  Yes  |  Yes  | ctomaday |
| Car Jamboree                     |  Yes  | Close |  Yes  |  Yes  | carjmbre |
| Car Polo                         |  Yes  |  Yes  |   No  |  Yes  | carpolo  |
| Carnival                         |  Yes  |  Yes  | Yes(2)|  Yes  | carnival |
| Carrier Air Wing                 |  Yes  |  Yes  |  Yes  |  Yes  | cawing   |
| Cassette: Astro Fantasia         |  Yes  |  Yes  |  Yes  |  Yes  | castfant |
| Cassette: Boulder Dash           |  Yes  |  Yes  |  Yes  |  Yes  | cbdash   |
| Cassette: Burger Time            |  Yes  |  Yes  |  Yes  |  Yes  | cbtime   |
| Cassette: Burnin' Rubber         |  Yes  |  Yes  |  Yes  |  Yes  | cburnrub |
| Cassette: Disco No.1             |  Yes  |  Yes  |  Yes  |  Yes  | cdiscon1 |
| Cassette: Explorer               |   No  |  Yes  |  Yes  |  Yes  | cexplore |
| Cassette: Fighting Ice Hockey    |  Yes  |  Yes  |  Yes  |  Yes  | cfghtice |
| Cassette: Graplop                |  Yes  |  Yes  |  Yes  |  Yes  | cgraplop |
| Cassette: Lock'n'Chase           |  Yes  |  Yes  |  Yes  |  Yes  | clocknch |
| Cassette: Lucky Poker            |  Yes  |  Yes  |  Yes  |  Yes  | cluckypo |
| Cassette: Mission-X              |  Yes  |  Yes  |  Yes  |  Yes  | cmissnx  |
